         11020588 function calls (11019761 primitive calls) in 3.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     40/1    0.000    0.000    3.607    3.607 {built-in method builtins.exec}
      2/1    0.001    0.001    3.607    3.607 bpe_tokenizer.py:1(<module>)
      2/1    0.357    0.179    3.605    3.605 bpe_tokenizer.py:118(train_bpe)
       10    0.001    0.000    2.508    0.251 bpe_tokenizer.py:65(pre_tokenization_with_chunk)
       10    1.539    0.154    2.504    0.250 bpe_tokenizer.py:72(pre_tokenization_with_text)
  6422070    0.693    0.000    0.693    0.000 bpe_tokenizer.py:93(<genexpr>)
     1743    0.369    0.000    0.369    0.000 bpe_tokenizer.py:106(select_best_pair)
    66130    0.043    0.000    0.198    0.000 __init__.py:595(__init__)
    66140    0.031    0.000    0.165    0.000 __init__.py:669(update)
  1263131    0.131    0.000    0.131    0.000 {method 'group' of '_regex.Match' objects}
  1269635    0.130    0.000    0.130    0.000 {method 'encode' of 'str' objects}
    66118    0.053    0.000    0.087    0.000 {built-in method _collections._count_elements}
    68769    0.018    0.000    0.042    0.000 {built-in method builtins.isinstance}
428448/428361    0.033    0.000    0.033    0.000 {built-in method builtins.len}
   168500    0.031    0.000    0.031    0.000 {method 'add' of 'set' objects}
     60/5    0.000    0.000    0.029    0.006 <frozen importlib._bootstrap>:1349(_find_and_load)
     60/5    0.000    0.000    0.029    0.006 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     58/5    0.000    0.000    0.028    0.006 <frozen importlib._bootstrap>:911(_load_unlocked)
     38/4    0.000    0.000    0.028    0.007 <frozen importlib._bootstrap_external>:993(exec_module)
   125/10    0.000    0.000    0.028    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   121143    0.026    0.000    0.026    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.025    0.006 __init__.py:1(<module>)
    66128    0.014    0.000    0.024    0.000 <frozen abc>:117(__instancecheck__)
   168523    0.023    0.000    0.023    0.000 {method 'setdefault' of 'dict' objects}
   187679    0.019    0.000    0.019    0.000 bpe_tokenizer.py:197(<genexpr>)
   158071    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
   154485    0.015    0.000    0.015    0.000 bpe_tokenizer.py:198(<genexpr>)
    72023    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    66128    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
    68098    0.010    0.000    0.010    0.000 {method 'items' of 'dict' objects}
    29/24    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      6/3    0.000    0.000    0.009    0.003 {built-in method builtins.__import__}
        1    0.000    0.000    0.009    0.009 regex.py:1(<module>)
    38958    0.008    0.000    0.008    0.000 {method 'pop' of 'dict' objects}
        1    0.002    0.002    0.007    0.007 _regex_core.py:1(<module>)
        1    0.000    0.000    0.007    0.007 context.py:1(<module>)
       38    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
       10    0.000    0.000    0.006    0.001 regex.py:314(split)
        1    0.000    0.000    0.006    0.006 std.py:760(get_lock)
